Number of Hotels,,Comment_Text,Name,Rating,Positive Polarity Scores,Negative Polarity Scores,Neutral Polarity Scores,CompoundPolarityScores
1981,80,Wonderful,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",9,1,0,0,0.5719
1982,81,Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",7,1,0,0,0.4404
1983,82,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1984,83,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1985,84,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1986,85,Pleasant,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,1,0,0,0.5106
1987,86,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1988,87,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1989,88,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1990,89,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1991,90,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1992,91,Nice stay,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",6,0.737,0,0.263,0.4215
1993,92,I asked for 2 more pillows and the staff told me there are no more pillows. Unacceptable. Otherwise the property is clea,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0,0.233,0.767,-0.6682
1994,93,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1995,94,Exceptional,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0,0,1,0
1996,95,Beautiful staycation,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0.796,0,0.204,0.5994
1997,96,Very Good,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.762,0,0.238,0.4927
1998,97,Great Choice!,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0.815,0,0.185,0.6588
1999,98,Great Choice!,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",10,0.815,0,0.185,0.6588
2000,99,can be better,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8,0.592,0,0.408,0.4404
